order_id,electoral_district_id,district_name_ka,precinct_number,precinct_id,number_of_voters,reason
1,26,თეთრიწყარო,31,26031,161,საარჩევნო კანონმდებლობის დარღვევა
2,30,კასპი,3,30003,1336,საარჩევნო კანონმდებლობის დარღვევა
3,32,გორი,4,32004,1582,საარჩევნო კანონმდებლობის დარღვევა
4,35,ხაშური,1,35001,1046,საარჩევნო კანონმდებლობის დარღვევა
5,35,ხაშური,2,35002,1344,საარჩევნო კანონმდებლობის დარღვევა
6,35,ხაშური,3,35003,1296,საარჩევნო კანონმდებლობის დარღვევა
7,35,ხაშური,8,35008,906,საარჩევნო კანონმდებლობის დარღვევა
8,35,ხაშური,9,35009,1112,საარჩევნო კანონმდებლობის დარღვევა
9,35,ხაშური,10,35010,1033,საარჩევნო კანონმდებლობის დარღვევა
10,35,ხაშური,13,35013,1491,საარჩევნო კანონმდებლობის დარღვევა
11,35,ხაშური,45,35045,1132,საარჩევნო კანონმდებლობის დარღვევა
12,35,ხაშური,46,35046,1021,საარჩევნო კანონმდებლობის დარღვევა
13,37,ახალციხე,16,37016,1318,საარჩევნო კანონმდებლობის დარღვევა
14,65,მარტვილი,19,65019,970,საარჩევნო კანონმდებლობის დარღვევა
15,84,ხულო,33,84033,300,საარჩევნო კანონმდებლობის დარღვევა
16,87,სხვა სახელმწიფოში შექმნილი,35,87035,1608,საარჩევნო კანონმდებლობის დარღვევა
