code,party_id,name_en,name_ka,party_label_ka,vote_col
1,tamaz_bibiluri,Tamaz Bibiluri,თამაზ ბიბილური,"საინიციატივო ჯგუფი: ლენა ბეჟიაშვილი, მურად ალაშვილი, გელა ადეიშვილი, ორესტ ბედია, ავთანდილ წერეთელი, გურამ ლომთაძე, ამირან ნორაკიძე",candidate_1
2,giorgi_liluashvili_2013,Giorgi Liluashvili,გიორგი ლილუაშვილი,"საინიციატივო ჯგუფი: გელა სანიკიძე, გურამ მეტეხელი, ზურაბ ვეფხვაძე, ცისანა ზურგაშვილი, გიორგი დარბაიძე, პეტრე მურაჩაშვილი.",candidate_2
3,sergo_javakhidze,Sergo Javakhidze,სერგო ჯავახიძე,სამართლიანი საქართველოსთვის,candidate_3
4,koba_davitashvili,Koba Davitashvili,კობა დავითაშვილი,ხალხის პარტია,candidate_4
5,bakradze,Davit Bakradze,დავით ბაქრაძე,ერთიანი ნაციონალური მოძრაობა,candidate_5
6,akaki_asatiani_2013,Akaki Asatiani,აკაკი ასათიანი,ქართველ ტრადიციონალისტთა კავშირი,candidate_6
7,nino_chanishvili,Nino Chanishvili,ნინო ჭანიშვილი,"საინიციატივო ჯგუფი: მალხაზ ცინცაძე, ლამარა გურული, ლია ნადიკაშვილი, დიმიტრი გუგავა, მანანა კახურაშვილი",candidate_7
8,teimuraz_bobokhidze,Teimuraz Bobokhidze,თეიმურაზ ბობოხიძე,"საინიციატივო ჯგუფი: ნინო ჯიშიაშვილი, გიორგი ნარუსლიშვილი,ლიანა ბობოხიძე, ნანა ქადარია, ლუიზა არუთინოვა",candidate_8
9,natelashvili,Shalva Natelashvili,შალვა ნათელაშვილი,ლეიბორისტული პარტია,candidate_9
10,giorgi_targamadze,Giorgi Targamadze,გიორგი თარგამაძე,ქრისტიან-დემოკრატიული მოძრაობა,candidate_10
11,levan_chachua,Levan Chachua,ლევან ჩაჩუა,"საინიციატივო ჯგუფი: თამაზ აბაშიძე, ზვიად ბლიაძე, რატი მაისურაძე, გიორგი გაბედავა, დიმიტრი ზარნაძე",candidate_11
12,nestan_kirtadze,Nestan Kirtadze,ნესტან კირთაძე,"საინიციატივო ჯგუფი: ანა რეხვიაშვილი, გივი რობაქიძე, ვახუშტი ფარცვანია, გიორგი მესხიძე, მინდია ბერეკაშვილი",candidate_12
13,giorgi_chikhladze,Giorgi Chikhladze,გიორგი ჩიხლაძე,"საინიციატივო ჯგუფი: გიორგი გიორხელიძე, რამაზ სუხიშვილი, ზაზა ხურციძე, გიორგი ხაჭაპურიძე, ლავრენტი სუხიშვილი",candidate_13
14,nino_burjanadze,Nino Burjanadze,ნინო ბურჯანაძე,დემოკრატიული მოძრაობა - ერთიანი საქართველო,candidate_14
15,zurab_kharatishvili,Zurab Kharatishvili,ზურაბ ხარატიშვილი,საქართველოს ევროპელი დემოკრატები,candidate_15
16,mikheil_saluashvili,Mikheil Saluashvili,მიხეილ სალუაშვილი,"საინიციატივო ჯგუფი: ზურაბ კობიაშვილი, მევლუდ მამადაშვილი, ეთერ ჩხეტია, ჯემალ ჯიქია, ლევან ჩოხელი",candidate_16
17,kartlos_gharibashvili,Kartlos Gharibashvili,ქართლოს ღარიბაშვილი,"საინიციატივო ჯგუფი: თამარ ღარიბაშვილი, ზინა ღარიბაშვილი, ცირა ჯავახიშვილი, შალვა ოჩხიკიძე, რამაზ ჭელიძე",candidate_17
18,mamuka_chokhonelidze,Mamuka Chokhonelidze,მამუკა ჭოხონელიძე,"საინიციატივო ჯგუფი: აკაკი კაჭარავა, დავით ჯანხოთელი, ზაზა ჭოხონელიძე, ზურაბ ბუტიკაშვილი, თამაზ ოქრუაშვილი",candidate_18
19,avtandil_margiani,Avtandil Margiani,ავთანდილ მარგიანი,"საინიციატივო ჯგუფი: კუკური ლაცაბიძე, ირაკლი ნაცვლიშვილი, კლიმენტი ცინდელიანი, კლიმენტი გიგანი, ოთარ ალიბეგაშვილი",candidate_19
20,nugzar_avaliani,Nugzar Avaliani,ნუგზარ ავალიანი,"საინიციატივო ჯგუფი: ვაჟა ბარბაქაძე, ციცინო ცინცაძე, ნათელა იაგანაშვილი, ისიდორე გაგოშვილი, გიორგი სიხარულიძე",candidate_20
21,mamuka_melikishvili,Mamuka Melikishvili,მამუკა მელიქიშვილი,"საინიციატივო ჯგუფი: ირაკლი ცერცვაძე, ხვიჩა მაცაბერიძე, მიხეილ მეტივიშვილი, გურამ თოფურია, გოდერძი წიკლაური",candidate_21
22,teimuraz_mzhavia,Teimuraz Mzhavia,თეიმურაზ მჟავია,ქრისტიან-დემოკრატიული სახალხო პარტია,candidate_22
41,giorgi_margvelashvili,Giorgi Margvelashvili,გიორგი მარგველაშვილი,ქართული ოცნება-დემოკრატიული საქართველო,candidate_41
