"precinct_id","precinct_key","district_id","raw_district_id","precinct_number","party_id","name_ka","votes","vote_share","registered","voted","voted_noon","voted_5pm","turnout_pct","noon_pct","five_pct","invalid_ballots","invalid_pct"
11028,"1112.11.28","1112",11,28,"gd","ზაზა ჩიხლაძე",171,0.401408,790,451,130,344,0.570886,0.164557,0.435443,23,0.050998
11028,"1112.11.28","1112",11,28,"independent","მალხაზ გრძელიშვილი",106,0.248826,790,451,130,344,0.570886,0.164557,0.435443,23,0.050998
11028,"1112.11.28","1112",11,28,"patriots","ამირანი საგინაშვილი",139,0.326291,790,451,130,344,0.570886,0.164557,0.435443,23,0.050998
11028,"1112.11.28","1112",11,28,"ufali_2014","მანანა ასანიშვილი",10,0.023474,790,451,130,344,0.570886,0.164557,0.435443,23,0.050998
11029,"1112.11.29","1112",11,29,"gd","ზაზა ჩიხლაძე",226,0.495614,751,485,171,396,0.645806,0.227696,0.527297,24,0.049485
11029,"1112.11.29","1112",11,29,"independent","მალხაზ გრძელიშვილი",179,0.392544,751,485,171,396,0.645806,0.227696,0.527297,24,0.049485
11029,"1112.11.29","1112",11,29,"patriots","ამირანი საგინაშვილი",30,0.065789,751,485,171,396,0.645806,0.227696,0.527297,24,0.049485
11029,"1112.11.29","1112",11,29,"ufali_2014","მანანა ასანიშვილი",21,0.046053,751,485,171,396,0.645806,0.227696,0.527297,24,0.049485
24016,"2406.24.16","2406",24,16,"gd","მზია ნინიაშვილი",135,1,478,142,32,100,0.297071,0.066946,0.209205,7,0.049296
24017,"2406.24.17","2406",24,17,"gd","მზია ნინიაშვილი",221,1,678,222,40,160,0.327434,0.058997,0.235988,1,0.004505
24018,"2406.24.18","2406",24,18,"gd","მზია ნინიაშვილი",68,1,135,70,43,62,0.518519,0.318519,0.459259,2,0.028571
24049,"2406.24.49","2406",24,49,"gd","მზია ნინიაშვილი",129,1,335,133,34,113,0.397015,0.101493,0.337313,4,0.030075
53010,"5307.53.10","5307",53,10,"gd","რაული ძაგნიძე",367,0.691149,1175,559,247,475,0.475745,0.210213,0.404255,28,0.050089
53010,"5307.53.10","5307",53,10,"independent","თამაზი სანადირაძე",4,0.007533,1175,559,247,475,0.475745,0.210213,0.404255,28,0.050089
53010,"5307.53.10","5307",53,10,"independent","კონსტანტინე გურგენიძე",160,0.301318,1175,559,247,475,0.475745,0.210213,0.404255,28,0.050089
66008,"6606.66.8","6606",66,8,"gd","მელორი გელანტია",318,0.734411,822,445,165,365,0.541363,0.20073,0.444039,12,0.026966
66008,"6606.66.8","6606",66,8,"patriots","ტარიელი ზარანდია",115,0.265589,822,445,165,365,0.541363,0.20073,0.444039,12,0.026966
