district_id,party_id,name_ka,votes,vote_share,registered,voted,voted_noon,voted_5pm,main_list,special_list,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct
national,major54_2018_2,გიორგი უგულავა,10417,0.3838,48241,27932,11802,23569,48123,118,0.579,0.2446,0.4886,776,0.0278
national,major54_2018_17,გიორგი ლილუაშვილი,124,0.0046,48241,27932,11802,23569,48123,118,0.579,0.2446,0.4886,776,0.0278
national,major54_2018_21,ზურაბ ქართველიშვილი,60,0.0022,48241,27932,11802,23569,48123,118,0.579,0.2446,0.4886,776,0.0278
national,major54_2018_23,მამუკა ტუსკაძე,399,0.0147,48241,27932,11802,23569,48123,118,0.579,0.2446,0.4886,776,0.0278
national,major54_2018_41,გივი ჭიჭინაძე,15705,0.5786,48241,27932,11802,23569,48123,118,0.579,0.2446,0.4886,776,0.0278
national,major54_2018_42,ვასილ კოპალიანი,438,0.0161,48241,27932,11802,23569,48123,118,0.579,0.2446,0.4886,776,0.0278
54,major54_2018_2,გიორგი უგულავა,10417,0.3838,48241,27932,11802,23569,48123,118,0.579,0.2446,0.4886,776,0.0278
54,major54_2018_17,გიორგი ლილუაშვილი,124,0.0046,48241,27932,11802,23569,48123,118,0.579,0.2446,0.4886,776,0.0278
54,major54_2018_21,ზურაბ ქართველიშვილი,60,0.0022,48241,27932,11802,23569,48123,118,0.579,0.2446,0.4886,776,0.0278
54,major54_2018_23,მამუკა ტუსკაძე,399,0.0147,48241,27932,11802,23569,48123,118,0.579,0.2446,0.4886,776,0.0278
54,major54_2018_41,გივი ჭიჭინაძე,15705,0.5786,48241,27932,11802,23569,48123,118,0.579,0.2446,0.4886,776,0.0278
54,major54_2018_42,ვასილ კოპალიანი,438,0.0161,48241,27932,11802,23569,48123,118,0.579,0.2446,0.4886,776,0.0278
